"filename", "language", "Python", "JavaScript", "HTML", "CSS", "comment", "blank", "total"
"c:\Users\ricia\Desktop\Maturita\Omega\WEBSITE\__init__.py", "Python", 40, 0, 0, 0, 3, 10, 53
"c:\Users\ricia\Desktop\Maturita\Omega\WEBSITE\admin_routes.py", "Python", 300, 0, 0, 0, 0, 76, 376
"c:\Users\ricia\Desktop\Maturita\Omega\WEBSITE\authentication_routes.py", "Python", 97, 0, 0, 0, 3, 20, 120
"c:\Users\ricia\Desktop\Maturita\Omega\WEBSITE\mail_sender.py", "Python", 65, 0, 0, 0, 1, 14, 80
"c:\Users\ricia\Desktop\Maturita\Omega\WEBSITE\routes.py", "Python", 162, 0, 0, 0, 14, 38, 214
"c:\Users\ricia\Desktop\Maturita\Omega\WEBSITE\static\admin_add_user.css", "CSS", 0, 0, 0, 53, 0, 10, 63
"c:\Users\ricia\Desktop\Maturita\Omega\WEBSITE\static\admin_home.css", "CSS", 0, 0, 0, 40, 0, 9, 49
"c:\Users\ricia\Desktop\Maturita\Omega\WEBSITE\static\boss.css", "CSS", 0, 0, 0, 36, 1, 8, 45
"c:\Users\ricia\Desktop\Maturita\Omega\WEBSITE\static\boss.js", "JavaScript", 0, 48, 0, 0, 0, 8, 56
"c:\Users\ricia\Desktop\Maturita\Omega\WEBSITE\static\boss_add_user.css", "CSS", 0, 0, 0, 81, 5, 11, 97
"c:\Users\ricia\Desktop\Maturita\Omega\WEBSITE\static\change_my_informations.css", "CSS", 0, 0, 0, 99, 2, 16, 117
"c:\Users\ricia\Desktop\Maturita\Omega\WEBSITE\static\deputy.css", "CSS", 0, 0, 0, 40, 0, 9, 49
"c:\Users\ricia\Desktop\Maturita\Omega\WEBSITE\static\login.css", "CSS", 0, 0, 0, 52, 0, 21, 73
"c:\Users\ricia\Desktop\Maturita\Omega\WEBSITE\static\lost_password.css", "CSS", 0, 0, 0, 53, 6, 7, 66
"c:\Users\ricia\Desktop\Maturita\Omega\WEBSITE\static\manage_profile.css", "CSS", 0, 0, 0, 97, 1, 17, 115
"c:\Users\ricia\Desktop\Maturita\Omega\WEBSITE\static\manage_users.css", "CSS", 0, 0, 0, 57, 3, 11, 71
"c:\Users\ricia\Desktop\Maturita\Omega\WEBSITE\static\manage_users.js", "JavaScript", 0, 119, 0, 0, 9, 16, 144
"c:\Users\ricia\Desktop\Maturita\Omega\WEBSITE\static\reset_password.css", "CSS", 0, 0, 0, 78, 8, 12, 98
"c:\Users\ricia\Desktop\Maturita\Omega\WEBSITE\static\search_student.css", "CSS", 0, 0, 0, 68, 3, 16, 87
"c:\Users\ricia\Desktop\Maturita\Omega\WEBSITE\static\search_student.js", "JavaScript", 0, 60, 0, 0, 3, 13, 76
"c:\Users\ricia\Desktop\Maturita\Omega\WEBSITE\static\teacher.css", "CSS", 0, 0, 0, 57, 3, 11, 71
"c:\Users\ricia\Desktop\Maturita\Omega\WEBSITE\static\teacher.js", "JavaScript", 0, 63, 0, 0, 2, 13, 78
"c:\Users\ricia\Desktop\Maturita\Omega\WEBSITE\student_routes.py", "Python", 29, 0, 0, 0, 2, 7, 38
"c:\Users\ricia\Desktop\Maturita\Omega\WEBSITE\templates\admin\add_user.html", "HTML", 0, 0, 38, 0, 0, 5, 43
"c:\Users\ricia\Desktop\Maturita\Omega\WEBSITE\templates\admin\admin_home.html", "HTML", 0, 0, 14, 0, 0, 5, 19
"c:\Users\ricia\Desktop\Maturita\Omega\WEBSITE\templates\admin\manage_users.html", "HTML", 0, 0, 12, 0, 1, 2, 15
"c:\Users\ricia\Desktop\Maturita\Omega\WEBSITE\templates\admin\request_add_user.html", "HTML", 0, 0, 37, 0, 0, 2, 39
"c:\Users\ricia\Desktop\Maturita\Omega\WEBSITE\templates\base\base.html", "HTML", 0, 0, 18, 0, 0, 3, 21
"c:\Users\ricia\Desktop\Maturita\Omega\WEBSITE\templates\base\user_base.html", "HTML", 0, 0, 90, 0, 0, 5, 95
"c:\Users\ricia\Desktop\Maturita\Omega\WEBSITE\templates\login\login.html", "HTML", 0, 0, 23, 0, 0, 5, 28
"c:\Users\ricia\Desktop\Maturita\Omega\WEBSITE\templates\login\lost_password.html", "HTML", 0, 0, 21, 0, 1, 7, 29
"c:\Users\ricia\Desktop\Maturita\Omega\WEBSITE\templates\login\reset_password.html", "HTML", 0, 0, 24, 0, 0, 5, 29
"c:\Users\ricia\Desktop\Maturita\Omega\WEBSITE\templates\student\student_profile.html", "HTML", 0, 0, 27, 0, 1, 1, 29
"c:\Users\ricia\Desktop\Maturita\Omega\WEBSITE\templates\user\boss.html", "HTML", 0, 0, 33, 0, 0, 2, 35
"c:\Users\ricia\Desktop\Maturita\Omega\WEBSITE\templates\user\boss_add_user.html", "HTML", 0, 0, 33, 0, 2, 9, 44
"c:\Users\ricia\Desktop\Maturita\Omega\WEBSITE\templates\user\change_my_informations.html", "HTML", 0, 0, 66, 0, 2, 14, 82
"c:\Users\ricia\Desktop\Maturita\Omega\WEBSITE\templates\user\deputy.html", "HTML", 0, 0, 19, 0, 0, 1, 20
"c:\Users\ricia\Desktop\Maturita\Omega\WEBSITE\templates\user\manage_profile.html", "HTML", 0, 0, 32, 0, 0, 2, 34
"c:\Users\ricia\Desktop\Maturita\Omega\WEBSITE\templates\user\search_student.html", "HTML", 0, 0, 12, 0, 0, 3, 15
"c:\Users\ricia\Desktop\Maturita\Omega\WEBSITE\templates\user\teacher.html", "HTML", 0, 0, 15, 0, 0, 2, 17
"c:\Users\ricia\Desktop\Maturita\Omega\WEBSITE\user_routes.py", "Python", 205, 0, 0, 0, 11, 52, 268
"Total", "-", 898, 290, 514, 811, 87, 498, 3098
